#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
       0   1.00000000   0.00000000   1.00000000   0.00000000   0.00000000
       1   0.95533651   0.29552022   1.00000000   0.00000000   0.29999998
       2   0.82533562   0.56464249   0.99996299   0.00860389   0.59139597
       3   0.62160993   0.78332692   0.99940807   0.03440244   0.86559087
       4   0.36235771   0.93203908   0.99702549   0.07707223   1.12285137
       5   0.07073720   0.99749500   0.99072605   0.13587438   1.36370409
       6  -0.22720204   0.97384763   0.97775495   0.20975059   1.58868015
       7  -0.50484604   0.86320943   0.95483482   0.29713714   1.79830694
       8  -0.73739362   0.67546326   0.91835511   0.39575735   1.99310744
       9  -0.90407205   0.42738006   0.86462128   0.50242418   2.17359948
      10  -0.98999244   0.14112024   0.79017323   0.61288357   2.34029508
      11  -0.98747981  -0.15774541   0.69217360   0.72173107   2.49369979
      12  -0.89675856  -0.44252014   0.56885231   0.82243967   2.63431311
      13  -0.72593254  -0.68776590   0.41998029   0.90753323   2.76262689
      14  -0.49026099  -0.87157565   0.24732837   0.96893173   2.87912536
      15  -0.21079580  -0.97753012   0.05505383   0.99848336   2.98428535
      16   0.08749917  -0.99616462  -0.15006013   0.98867685   3.07857466
      17   0.37797809  -0.92581451  -0.35858449   0.93349725  -3.12073231
      18   0.63469332  -0.77276415  -0.40102163   0.91606861  -2.86661291
      19   0.83471322  -0.55068493  -0.28400695   0.95882219  -2.44195151
      20   0.96017057  -0.27941459  -0.17704840   0.98420215  -2.03196740
      21   0.99985862   0.01681504  -0.08758114   0.99615741  -1.64167404
      22   0.95023215   0.31154263  -0.01677236   0.99985933  -1.27075338
      23   0.81572419   0.57844102   0.03524701   0.99937862  -0.91872573
      24   0.60834998   0.79366893   0.06882249   0.99762893  -0.58510298
      25   0.34663352   0.93800062   0.08448539   0.99642473  -0.26939350
      26   0.05395333   0.99854344   0.08278132   0.99656773   0.02889663
