# index  real(x)      imag(x)      real(y)      imag(y)      error        
     0   0.87758256   0.47942554   1.00000000   0.00000000   0.50000000
     1   0.69670671   0.71735609   0.99989718   0.01433951   0.78566000
     2   0.45359612   0.89120736   0.99866836   0.05158982   1.04838727
     3   0.16996714   0.98544973   0.99442510   0.10544535   1.29435827
     4  -0.12884449   0.99166481   0.98459963   0.17482442   1.52427256
     5  -0.41614684   0.90929743   0.96604572   0.25837116   1.73866427
     6  -0.66627602   0.74570521   0.93521107   0.35409073   1.93805837
     7  -0.85688875   0.51550137   0.88836467   0.45913855   2.12297475
     8  -0.97095817   0.23924933   0.82189176   0.56964370   2.29392772
     9  -0.99829478  -0.05837414   0.73265983   0.68059502   2.45142554
    10  -0.93645669  -0.35078323   0.61844802   0.78582571   2.59596987
    11  -0.79096771  -0.61185789   0.47841747   0.87813252   2.72805534
    12  -0.57482395  -0.81827711   0.31358439   0.94956033   2.84816916
    13  -0.30733287  -0.95160207   0.12724113   0.99187181   2.95679067
    14  -0.01238866  -0.99992326  -0.07474282   0.99720284   3.05439109
    15   0.28366219  -0.95892427  -0.28381520   0.95887900   3.14143308
    16   0.55437434  -0.83226744  -0.48890415   0.87233751  -3.06481472
    17   0.77556588  -0.63126664  -0.53402440   0.84546906  -2.81733505
    18   0.92747843  -0.37387666  -0.43049179   0.90259449  -2.39901920
    19   0.99654210  -0.08308940  -0.33453430   0.94238357  -1.99509265
    20   0.97658763   0.21511999  -0.25378686   0.96726017  -1.61057493
    21   0.86939749   0.49411335  -0.19001052   0.98178205  -1.24515450
    22   0.68454667   0.72896904  -0.14387507   0.98959586  -0.89835776
    23   0.43854733   0.89870810  -0.11546309   0.99331177  -0.56970283
    24   0.15337386   0.98816823  -0.10453209   0.99452151  -0.25870504
    25  -0.14550003   0.98935825  -0.11066925   0.99385729   0.03512196
    26  -0.43137684   0.90217183  -0.13335461   0.99106839   0.31226531
    27  -0.67872005   0.73439710  -0.17194750   0.98510611   0.57321209
    28  -0.86543521   0.50102086  -0.22561067   0.97421755   0.81844854
    29  -0.97484362   0.22288991  -0.29318744   0.95605498   1.04845928
    30  -0.99717216  -0.07515112  -0.37304778   0.92781213   1.26372659
    31  -0.93042627  -0.36647913  -0.46292174   0.88639916   1.46472981
    32  -0.78056818  -0.62507065  -0.55974142   0.82866733   1.65194464
    33  -0.56098426  -0.82782647  -0.65951680   0.75168982   1.82584261
    34  -0.29128928  -0.95663502  -0.75727325   0.65309818   1.98689052
    35   0.00442570  -0.99999021  -0.84708088   0.53146400   2.13554996
    36   0.29974534  -0.95401925  -0.92220393   0.38670391   2.27227680
    37   0.56828963  -0.82282859  -0.97539321   0.22047241   2.39752081
    38   0.78607030  -0.61813711  -0.99933383   0.03649509   2.51172524
    39   0.93363364  -0.35822928  -0.98724391  -0.15921513   2.61532645
    40   0.99779828  -0.06632190  -0.93359859  -0.35832062   2.70875359
    41   0.97283257   0.23150983  -0.83492836  -0.55035864   2.79242832
    42   0.86096662   0.50866146  -0.69061480  -0.72322278   2.86676451
    43   0.67219308   0.74037589  -0.50358408  -0.86394622   2.93216799
    44   0.42337454   0.90595474  -0.28078381  -0.95977104   2.98903639
    45   0.13673722   0.99060736  -0.03332700  -0.99944450   3.03775889
    46  -0.16211444   0.98677196   0.22379806  -0.97463554   3.07871607
    47  -0.44648489   0.89479117   0.47251821  -0.88132091   3.11227981
    48  -0.69097218   0.72288135   0.69297880  -0.72095797   3.13881310
    49  -0.87373698   0.48639869   0.86530358  -0.50124816  -3.12451529
    50  -0.97845346   0.20646748   0.91359063  -0.40663518  -2.93078797
    51  -0.99576761  -0.09190685   0.88394659  -0.46758788  -2.56299592
    52  -0.92413280  -0.38207142   0.85611492  -0.51678549  -2.20646401
    53  -0.76994796  -0.63810668   0.83467978  -0.55073557  -1.86631068
    54  -0.54698596  -0.83714178   0.82122989  -0.57059747  -1.54232272
    55  -0.27516334  -0.96139749   0.81652423  -0.57731116  -1.23412411
    56   0.02123881  -0.99977443   0.82066287  -0.57141268  -0.94132970
    57   0.31574375  -0.94884450   0.83315654  -0.55303724  -0.66355062
    58   0.58204425  -0.81315711   0.85296291  -0.52197152  -0.40039522
    59   0.79635247  -0.60483282   0.87849857  -0.47774497  -0.15146992
    60   0.93952489  -0.34248062   0.90763719  -0.41975556   0.08362007
    61   0.99877236  -0.04953564   0.93770699  -0.34742712   0.30526999
    62   0.96880246   0.24783421   0.96550230  -0.26039453   0.51387489
    63   0.85229232   0.52306577   0.98732510  -0.15871092   0.70982896
    64   0.65964945   0.75157342   0.99907216  -0.04306757   0.89352497
    65   0.40808206   0.91294525   0.99638199   0.08498778   1.06535366
    66   0.12006192   0.99276641   0.97485189   0.22285376   1.22570321
    67  -0.17868301   0.98390669   0.93032976   0.36672405   1.37495879
    68  -0.46146670   0.88715753   0.85927688   0.51151075   1.51350204
    69  -0.70302896   0.71116122   0.75918689   0.65087269   1.64171070
    70  -0.88179173   0.47163900   0.62903434   0.77737751   1.75995814
    71  -0.98178667   0.18998668   0.46971269   0.88281934   1.86861305
    72  -0.99408153  -0.10863660   0.28441035   0.95870264   1.96803907
    73  -0.91757805  -0.39755568   0.07886474   0.99688533   2.05859447
    74  -0.75911006  -0.65096231  -0.13856855   0.99035284   2.14063188
    75  -0.53283302  -0.84622040  -0.35708916   0.93407030   2.21449802
    76  -0.25895960  -0.96588815  -0.56391124   0.82583540   2.28053347
    77   0.03804591  -0.99927599  -0.74502700   0.66703431   2.33907243
    78   0.33165290  -0.94340148  -0.88625904   0.46318994   2.39044258
    79   0.59563432  -0.80325573  -0.97454509   0.22419158   2.43496485
    80   0.80640949  -0.59135753  -0.99935573  -0.03589041   2.47295331
    81   0.94515051  -0.32663513  -0.95410593  -0.29946931   2.50471504
    82   0.99946405  -0.03273538  -0.83739230  -0.54660236   2.53054999
    83   0.96449845   0.26408852  -0.65387583  -0.75660188   2.55075094
    84   0.84337707   0.53732218  -0.41464102  -0.90998507   2.56560337
    85   0.64691932   0.76255845  -0.13689907  -0.99058500   2.57538543
    86   0.39267420   0.91967764   0.15703454  -0.98759311   2.58036788
    87   0.10335267   0.99464477   0.44147421  -0.89727394   2.58081410
    88  -0.19520105   0.98076325   0.68970030  -0.72409495   2.57698003
    89  -0.47631805   0.87927306   0.87669153  -0.48105297   2.56911417
    90  -0.71488697   0.69924003   0.98196666  -0.18905417   2.55745762
    91  -0.88959717   0.45674597   0.99219584   0.12468928   2.54224411
    92  -0.98484230   0.17345216   0.90323010   0.42915659   2.52369997
    93  -0.99211440  -0.12533563   0.72123377   0.69269174   2.50204424
    94  -0.91076388  -0.41292755   0.46268921   0.88652056   2.47748869
    95  -0.74805753  -0.66363388   0.15317010   0.98819984   2.45023788
    96  -0.51852943  -0.85505978  -0.17506638   0.98455663   2.42048925
    97  -0.24268264  -0.97010573  -0.48645635   0.87370488   2.38843319
    98   0.05484226  -0.99849503  -0.74611596   0.66581602   2.35425310
    99   0.34746827  -0.93769174  -0.92397123   0.38246199   2.31812552
   100   0.60905598  -0.79312724  -0.99851229   0.05452705   2.28022022
   101   0.81623852  -0.57771504  -0.95967126  -0.28112466   2.24070028
